fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 144520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	763381	0.045057948	0.347009782	5094	21	7434	25380000	91
20220930 155012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	763381	0.046415142	0.360721541	3944	1007	7241	25280000	123
20220930 155653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	763381	0.035031855	0.369247186	1773	980	7246	25270000	136
20220930 144434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	805	TRUE	763381	0.006490536	0.328878282	5014	45	7304	25240000	90
20220930 155420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	763381	0.053020813	0.367624033	1817	916	6949	25230000	130
20220930 154855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501	TRUE	763381	0.00910367	0.363419947	3962	150	7406	25190000	121
20220930 070352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	763381	0.157071585	0.477934934	952	394	7614	25180000	37
20220930 154941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	763381	0.046095077	0.409137255	1260	969	7013	25180000	122
20220930 140811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	723	TRUE	763381	0.008636775	0.313129034	1092	900	6938	25170000	83
20220930 151519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	763381	0.00918792	0.259312513	1050	801	6741	25160000	109
20220930 154655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	763381	0.048970874	0.340318594	4909	158	7423	25160000	120
20220930 155816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	763381	0.04882749	0.38589774	5342	570	6990	25140000	138
20220930 150502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	451	TRUE	763381	0.015220552	0.267537775	4387	815	6837	25130000	101
20220930 124429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.173148847	0.96603251	7999	556	7569	25110000	52
20220930 070544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	763381	0.054024248	0.790919109	1317	376	7492	25100000	41
20220930 145831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	273	TRUE	763381	0.036771132	0.422254387	3431	11	7455	25090000	97
20220930 144119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1734	TRUE	763381	0.003085977	0.316816305	4419	785	6946	25070000	89
20220930 140506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	889	TRUE	763381	0.005822104	0.326184118	3753	922	7192	25060000	82
20220930 152523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1432	TRUE	763381	0.003825358	0.328479521	5216	435	7354	25060000	112
20220930 155045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	763381	0.046551654	0.358494758	4223	941	7434	25060000	124
20220930 152718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	763381	0.043413046	0.332564112	3071	7	7482	25040000	114
20220930 154624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	978	TRUE	763381	0.008820797	0.417326885	4859	355	7282	25040000	119
20220930 143502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5017	TRUE	763381	0.001007422	0.311040959	929	775	6851	25020000	87
20220930 144953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	763381	0.046822767	0.349553306	5816	196	7570	25020000	94
20220930 151116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	763381	0.045235569	0.542423834	6536	991	7492	25020000	107
20220930 144853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1107	TRUE	763381	0.006343998	0.329443085	4407	14	7541	2.50E+07	92
20220930 152023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	763381	0.012087633	0.33258537	1287	608	6786	24990000	111
20220930 152809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	290	TRUE	763381	0.039333135	0.349742579	5822	19	7348	24990000	115
20220930 070010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	763381	0.148597146	0.890851577	6410	418	7596	24970000	27
20220930 130229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	361	TRUE	763381	0.044540777	0.980425395	7934	751	7556	24970000	64
20220930 150815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	370	TRUE	763381	0.006892021	0.267955373	340	297	6891	24940000	102
20220930 155938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.045509243	0.367140046	603	975	7257	24930000	140
20220930 155526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	763381	0.101540677	0.850340806	5072	342	7263	24920000	133
20220930 155154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	763381	0.044822329	0.309916051	2950	909	7039	24890000	126
20220930 155229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	763381	0.040738482	0.410788525	2297	839	6840	24880000	127
20220930 070051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	763381	0.162477171	0.9621436	5095	381	7046	24870000	30
20220930 155457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	245	TRUE	763381	0.054682384	0.631024736	5013	953	7532	24860000	131
20220930 132112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1044	TRUE	763381	0.004365713	0.383526176	2663	965	6936	24850000	77
20220930 150853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	763381	0.04316373	0.380287249	1607	463	7418	24850000	103
20220930 152838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	763381	0.045199558	0.78167394	3740	953	7457	24850000	116
20220930 070620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	763381	0.049138451	0.369890022	6263	370	7344	24840000	42
20220930 145207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	568	TRUE	763381	0.009478278	0.497457569	4018	541	6861	24840000	95
20220930 140854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	763381	0.028668301	0.325761799	2312	570	6993	24820000	84
20220930 151005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	763381	0.041006824	0.219552619	5109	184	7432	24820000	105
20220930 155856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	763381	0.035667129	0.366561933	4779	805	7274	24820000	139
20220930 150329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	527	TRUE	763381	0.020365207	0.337389343	5937	129	7368	24790000	100
20220930 132214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	763381	0.10035623	0.361418376	181	801	6812	24780000	78
20220930 152930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	763381	0.032372622	0.508179669	3256	966	7427	24750000	117
20220930 130356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	759	TRUE	763381	0.022189199	0.958003215	7587	842	7114	24740000	65
20220930 143520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	763381	0.109861378	0.965780134	7003	667	7510	24740000	88
20220930 150156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	763381	0.045522889	0.735239293	5841	83	7484	24720000	99
20220930 141141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	557	TRUE	763381	0.009535285	0.272888685	667	792	7130	24700000	85
20220930 155116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	763381	0.046497442	0.45852297	3331	1023	7180	24680000	125
20220930 160025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	763381	0.029069703	0.332034969	2427	1021	7224	24680000	141
20220930 155610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	763381	0.098637289	0.715370581	3734	55	7117	24650000	135
20220930 063109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	334	TRUE	763381	0.032587089	0.26226933	6945	1015	6804	24640000	5
20220930 131428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	763381	0.246589683	0.974861976	7981	605	7723	24640000	72
20220930 124022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	763381	0.085901411	0.781734629	6888	501	7047	24630000	46
20220930 151233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	763381	0.02031615	0.337479626	6275	888	6967	24630000	108
20220930 063738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	938	TRUE	763381	0.009709499	0.204417021	5645	31	10171	24620000	16
20220930 131413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	763381	0.092954823	0.47043467	7925	21	7133	24620000	71
20220930 145739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2583	TRUE	763381	0.005596444	0.123025928	4006	452	7330	24620000	96
20220930 151037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	763381	0.056596708	0.826576508	5851	679	7651	24620000	106
20220930 130901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.20999289	0.925144743	7907	873	7545	24590000	69
20220930 155742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	763381	0.032852896	0.368071115	414	965	6945	24590000	137
20220930 152618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	332	TRUE	763381	0.044652878	0.49691046	7218	172	7478	24570000	113
20220930 154254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4429	TRUE	763381	0.001367341	0.288506428	6662	20	7195	24570000	118
20220930 155510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	763381	0.177599135	0.822766836	7960	862	7561	24560000	132
20220930 064050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	763381	0.064534474	0.564017756	7973	26	7605	24550000	22
20220930 130058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	763381	0.18545311	0.999913544	7508	786	7452	24540000	61
20220930 131342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2183	TRUE	763381	0.008551584	0.590516664	7574	990	7130	24540000	70
20220930 141211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.081280302	0.316115654	2019	1023	6971	24540000	86
20220930 124345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	763381	0.178583479	0.345851737	7972	808	7058	24530000	49
20220930 131630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	349	TRUE	763381	0.04181886	0.476212043	7900	498	7180	24520000	75
20220930 063922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	763381	0.206447797	0.704295019	6015	231	7187	24510000	20
20220930 130134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	763381	0.076584237	0.547901598	7324	519	6869	24510000	62
20220930 130015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	763381	0.098118914	0.968800142	7874	167	6833	24500000	59
20220930 064018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	763381	0.025849356	0.998248154	5979	973	7199	24490000	21
20220930 070736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	763381	0.085492863	0.733570558	246	419	7595	24490000	44
20220930 155545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	763381	0.092948198	0.830100099	4868	406	7534	24460000	134
20220930 124417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.107463206	0.820017051	4500	824	6823	24440000	51
20220930 140115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	763381	0.112683974	0.955526862	7952	637	8020	24440000	80
20220930 070103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	763381	0.177562917	0.834051148	6067	448	7068	24430000	31
20220930 065931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8845	TRUE	763381	0.001202906	0.547184729	6784	178	7511	24420000	25
20220930 070513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	763381	0.147089237	0.421048086	838	787	7595	24410000	40
20220930 132250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	763381	0.056430494	0.651278799	7873	519	7156	24410000	79
20220930 155346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	763381	0.048135126	0.925867509	6533	623	7396	24410000	129
20220930 124256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1016	TRUE	763381	0.007850889	0.75399822	4743	59	9932	24380000	47
20220930 125949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	763381	0.183157337	0.343707322	7498	598	7505	24350000	58
20220930 150924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	763381	0.096036455	0.510182688	7595	541	6954	24340000	104
20220930 064109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	763381	0.103964938	0.916292109	6216	6	9844	24320000	23
20220930 070036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	763381	0.130168271	0.902729684	7997	303	7537	24290000	29
20220930 131446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	763381	0.158733572	0.649359963	7955	1023	6884	24240000	73
20220930 070439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	763381	0.148038895	0.54776082	3518	203	7685	24230000	39
20220930 070636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	763381	0.154669208	0.974099744	2184	393	6766	24230000	43
20220930 124440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	763381	0.237451913	0.974847907	7998	981	7649	24230000	53
20220930 070144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	763381	0.036290749	0.998377255	6529	12	9613	24220000	33
20220930 070306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	763381	0.08186459	0.983581878	3415	583	6947	24190000	36
20220930 155303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	763381	0.037231186	0.742716246	6381	884	7592	24180000	128
20220930 063502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	763381	0.192875408	0.83273028	1773	958	8356	24170000	14
20220930 130045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	763381	0.087133008	0.722253838	7859	338	6157	24170000	60
20220930 130453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	763381	0.061050572	0.553597195	7986	651	6719	24170000	67
20220930 062934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	763381	0.163355231	0.859774575	3871	789	10567	24150000	2
20220930 070022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.181842101	0.998674961	6135	691	7729	24150000	28
20220930 130145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	763381	0.17723471	0.999505678	5993	304	7607	24150000	63
20220930 064128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	763381	0.177580301	0.659055916	7983	1024	6270	24100000	24
20220930 124453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	763381	0.157732203	0.915455945	7995	454	7437	24090000	54
20220930 125836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7767	TRUE	763381	0.001269104	0.861588661	7951	205	10279	24090000	56
20220930 140144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	763381	0.058843698	0.625526194	7928	461	7177	24050000	81
20220930 131647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	763381	0.23956195	0.481235841	7290	250	7063	24040000	76
20220930 130844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1268	TRUE	763381	0.005377436	0.572779113	7416	686	10077	24010000	68
20220930 124511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	763381	0.163887888	0.800443639	4200	555	7601	2.40E+07	55
20220930 063006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	763381	0.143110739	0.302802223	4283	645	7937	23970000	4
20220930 062902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	763381	0.08526757	0.571486722	4506	588	5622	23960000	1
20220930 131530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	763381	0.031708641	0.739998466	5466	6	6908	23950000	74
20220930 124400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	763381	0.182495857	0.253061922	2206	80	10160	23920000	50
20220930 151854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1660	TRUE	763381	0.008663998	0.075756583	1272	912	6846	23910000	110
