fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 092437	-0.894861329148989	2332.64303130961	267.21398562289	18	5	21653333.3333333	1
20220911 092454	-0.271664048812818	2670.79898118078	624.058291270703	14	5	22106666.6666667	2
20220911 092504	-0.415093533786421	4349.07476283764	649.774791141346	5	5	21773333.3333333	3
20220911 092515	-0.0266043500305385	2930.48488302105	905.760904030569	6	5	21546666.6666667	4
20220911 092530	-0.37352752344741	3912.26161748702	69.9697033052216	10	5	21426666.6666667	5
20220911 092558	-0.646276258982834	3426.32779688011	436.542872982245	11	5	22013333.3333333	6
20220911 092607	-0.572259850894625	4491.14317058447	166.822078530895	3	5	21880000	7
20220911 092622	-0.0632628863109858	1246.39726015623	238.143509765257	9	5	21560000	8
20220911 092631	0.0685858246433781	3445.86600910046	691.921331673482	15	5	-9e+05	9
20220911 092645	-0.813638863977394	745.297728649559	59.6647152380028	8	5	21106666.6666667	10
20220911 092703	-0.967185009949026	4712.68286959823	358.429542926286	19	5	21746666.6666667	11
20220911 092713	-0.690397578998818	1970.34731309365	853.40868664367	5	5	22173333.3333333	12
20220911 092729	-0.153081311279675	4496.03025354783	956.410855544091	12	5	21573333.3333333	13
20220911 092749	-0.474471178185195	1087.80272459041	317.995966444025	18	5	21826666.6666667	14
20220911 092759	-0.274068784742849	3016.66875791649	674.600401279575	5	5	21773333.3333333	15
20220911 092815	-0.945996994973393	2408.88823278918	114.132239690691	10	5	21653333.3333333	16
20220911 092824	-0.0784517620500772	3614.1084685558	999.866842393429	3	5	21960000	17
20220911 092849	-0.579364943093034	1716.79801561074	858.384508927805	18	5	22146666.6666667	18
20220911 092906	-0.512936529692955	4783.89315703308	999.434625222404	15	5	21493333.3333333	19
20220911 092916	-0.613209432337603	68.281958375488	21.4623944334361	4	5	21880000	20
20220911 092935	-0.207373575156773	281.262255476765	135.870580547137	10	5	20613333.3333333	21
20220911 093002	-0.722433002262838	2208.50390275078	1.18210793090169	20	5	19133333.3333333	22
20220911 093012	-0.616429946228431	2422.21578005428	999.632882877551	3	5	21533333.3333333	23
20220911 093022	-0.532554664576253	596.580280690171	295.993311302472	3	5	21533333.3333333	24
20220911 093040	-0.336986787196078	1986.99735992895	991.397443536936	20	5	21853333.3333333	25
20220911 093049	-0.859299742206501	4996.22158455129	974.30191881535	3	5	21720000	26
20220911 093106	-0.232799136973278	4954.29932469829	985.07297737971	20	5	21653333.3333333	27
20220911 093125	-0.308198201005045	4997.56386698639	508.413567738594	20	5	21640000	28
20220911 093135	-0.0476214351077935	1945.3565105989	955.736633246677	3	5	21786666.6666667	29
20220911 093145	-0.0506311088219521	4993.24521375773	4.62476826175799	3	5	20653333.3333333	30
20220911 093155	-0.92625215987351	4995.7848881095	909.114963719901	3	5	21413333.3333333	31
20220911 093213	-0.415682203572142	1988.7690069152	984.617492243824	20	5	21893333.3333333	32
20220911 093227	-0.137730159624246	2517.08953355544	956.326523982636	7	5	21533333.3333333	33
20220911 093252	-0.548309763354279	2973.53937700088	17.7259368766148	20	5	21253333.3333333	34
20220911 093302	-0.770000998301907	4987.78066765238	995.999259698227	3	5	21666666.6666667	35
20220911 093314	-0.678328696264674	4991.53418607677	930.275195815154	5	5	21413333.3333333	36
20220911 093326	-0.461494789479512	1996.7290191248	996.680558663529	4	5	22040000	37
20220911 093344	-0.999711342112314	2016.56407519347	999.707993616268	16	5	22333333.3333333	38
20220911 093402	-0.945442800056857	2000.34479240544	997.477340603845	20	5	22173333.3333333	39
20220911 093420	-0.830392128723838	2000.23803047605	999.502314940877	11	5	22120000	40
20220911 093433	-0.417986416900532	3.51192273082839	1.11390169006117	3	5	20520000	41
20220911 093500	-0.999644759517556	19.5878341746931	9.41622399715423	18	5	10560000	42
20220911 093517	-0.893138557119139	3968.83156051485	998.725010045967	17	5	21773333.3333333	43
