fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 225849	-0.52235049881856	4121.19549463787	451.372448404523	9	5	22853333.3333333	1
20220911 225859	-0.360156151968113	1873.69351398101	375.71071110203	5	5	22826666.6666667	2
20220911 225912	-0.844862608163385	1118.88995780754	343.013989764935	8	5	22440000	3
20220911 225928	-0.281941207019554	2340.71493558983	867.913635866993	12	5	22586666.6666667	4
20220911 225948	-0.109266217876575	3580.75741887256	199.170846637891	19	5	22440000	5
20220911 230006	-0.783346353843808	1324.20389102498	51.1854323546286	13	5	21906666.6666667	6
20220911 230023	-0.00543852223345298	4627.19405173126	735.659977167103	20	5	22640000	7
20220911 230038	-0.104852796893101	2844.64270248891	167.800596640038	11	5	22840000	8
20220911 230052	-0.7012309847094	3954.99248438865	554.194863083787	9	5	22853333.3333333	9
20220911 230101	-0.207859421233297	3147.51420103197	960.508292308863	4	5	22720000	10
20220911 230112	-0.472185667684244	661.911191279461	93.6253063790355	7	5	23066666.6666667	11
20220911 230131	-0.880798621870053	2645.15495150625	290.279078731095	18	5	22560000	12
20220911 230147	-0.413906608485558	4814.75775056434	883.947894951503	16	5	22746666.6666667	13
20220911 230155	-0.977445428899955	1979.89634961075	801.538391485796	3	5	22400000	14
20220911 230207	-0.265227510640398	155.62573057483	37.5245181276696	7	5	21680000	15
20220911 230225	-0.465539943310432	4385.82350886997	509.797052396811	17	5	22720000	16
20220911 230239	-0.782713241257133	2351.21470190541	232.82057192841	7	5	22426666.6666667	17
20220911 230249	-0.728770459807561	1756.79644161435	372.394319892527	4	5	22560000	18
20220911 230305	-0.458278776261158	4106.13878452661	853.481776060278	10	5	22706666.6666667	19
20220911 230325	-0.0564316164654919	2490.04695074425	500.019838325988	19	5	22453333.3333333	20
20220911 230334	-0.453740483062286	2762.451192563	857.555654132818	3	5	22666666.6666667	21
20220911 230346	-0.70600250805221	2904.75311914019	476.890360256595	6	5	22466666.6666667	22
20220911 230403	-0.665614014016902	3875.59465435746	945.610633413624	20	5	22746666.6666667	23
20220911 230416	-0.353241460674355	3406.11068944951	24.5911415732641	6	5	22560000	24
20220911 230425	-0.827484137281928	1888.03967117587	223.170418985448	3	5	22506666.6666667	25
20220911 230438	-0.477927819381464	858.66131717488	191.994560752296	6	5	23080000	26
20220911 230449	-0.501213800033985	723.743086635623	160.005664127914	5	5	23160000	27
20220911 230504	-0.521369160387941	722.503213451164	352.373168746678	7	5	22773333.3333333	28
20220911 230514	-0.491508112109709	736.395737538464	94.782989392955	3	5	22680000	29
20220911 230528	-0.347891012902053	2892.07336933686	336.616070040128	8	5	22533333.3333333	30
20220911 230538	-0.734752062475194	4903.40465558301	814.591503496919	4	5	22253333.3333333	31
20220911 230556	-0.565289068364626	2446.81186561661	847.7534652829	14	5	22773333.3333333	32
20220911 230614	-0.295541460299403	994.484349566506	244.399660996516	11	5	22080000	33
20220911 230626	-0.465319456117995	469.038283265291	158.754978277204	5	5	23226666.6666667	34
20220911 230637	-0.464640268460668	1544.27397413808	2.11146082743846	5	5	22360000	35
20220911 230652	-0.614308225786437	4999.96210589313	773.714716695761	10	5	22346666.6666667	36
20220911 230709	-0.191161858723706	1959.92050023911	938.465658503192	10	5	23026666.6666667	37
20220911 230726	-0.179599900049534	4023.47544153312	998.086689490757	12	5	22693333.3333333	38
20220911 230739	-0.481809422826302	127.676086009703	63.2167932940081	6	5	22306666.6666667	39
20220911 230757	-0.403686326261412	4247.11918973613	899.008507724911	20	5	22586666.6666667	40
20220911 230808	0.0483322220234348	2241.66370760577	917.171573577363	5	5	-1100000	41
20220911 230827	-0.0507952302945665	4999.62541361312	574.076720397783	20	5	22560000	42
20220911 230843	-0.191674669049069	3112.44846404605	85.5347155516643	10	5	22786666.6666667	43
20220911 230904	-0.92074283347157	4997.67666352076	999.620598007909	13	5	22080000	44
20220911 230925	-0.434582349130331	646.221098380199	201.060881474755	15	5	22186666.6666667	45
20220911 230935	-0.316512599794971	4988.74659117242	998.843557687423	3	5	22266666.6666667	46
20220911 230950	-0.999998716414731	4282.37134611888	1.31681902132254	9	5	22066666.6666667	47
20220911 231011	-0.701843942097133	4998.73445923126	114.756067347418	17	5	22066666.6666667	48
20220911 231030	-0.999724684933605	1724.99475031881	858.913846246892	20	5	23120000	49
20220911 231048	-0.121248579715384	2564.60623555549	999.767514685846	20	5	22666666.6666667	50
20220911 231110	-0.999782706169624	519.239226511621	253.284512785964	15	5	22053333.3333333	51
20220911 231127	-0.53142631695187	4990.14034254798	999.800390201072	20	5	22426666.6666667	52
